user_email,product_name,quantity,price,street,city,state,zipcode,payment_method,is_paid,created_at
rudy.312@yahoo.com,"Gigabyte AX370-Gaming K7, AMD X370",2,231.09,"1818 State Route 3","Fulton",NY,13069,credit_card,true,2025-05-02T08:31:27.048Z
rudy.312@yahoo.com,"Arctic Alpine 12 - 92mm",2,11.02,"1818 State Route 3","Fulton",NY,13069,paypal,true,2025-05-02T08:31:27.048Z
rudy.312@yahoo.com,"Western Digital Black 2,5 Zoll",2,65.97,"1818 State Route 3","Fulton",NY,13069,debt_card,true,2025-05-02T08:31:27.048Z
rudy.312@yahoo.com,"Gigabyte X570 Gaming X, AMD X570",2,158.86,"1818 State Route 3","Fulton",NY,13069,credit_card,true,2025-05-02T08:31:27.048Z
rudy.312@yahoo.com,"be quiet! Silent Base 801 Midi-Tower - black",1,160.31,"1818 State Route 3","Fulton",NY,13069,debt_card,true,2025-05-02T08:31:27.048Z
rudy.312@yahoo.com,"NZXT H210i Mini-ITX, RGB, TG - white Window",3,94.29,"1818 State Route 3","Fulton",NY,13069,debt_card,true,2025-05-02T08:31:27.048Z
rudy.312@yahoo.com,"Western Digital Red Pro 18 TB",2,326.40,"1818 State Route 3","Fulton",NY,13069,credit_card,true,2025-04-06T02:52:44.255Z
rudy.312@yahoo.com,"InWin 301C Micro-ATX - black",2,100.11,"1818 State Route 3","Fulton",NY,13069,credit_card,true,2025-04-06T02:52:44.255Z
rudy.312@yahoo.com,"PNY GeForce RTX 4080 XLR8 Gaming VERTO Edition",2,1175.10,"1818 State Route 3","Fulton",NY,13069,debt_card,true,2025-04-06T02:52:44.255Z
rudy.312@yahoo.com,"ASRock B250M-HDV",2,68.17,"1818 State Route 3","Fulton",NY,13069,debt_card,true,2024-11-07T14:36:02.707Z
dugi22@yahoo.com,"Lian Li PC-O11 Air RGB Midi-Tower, Tempered Glass - black",3,131.29,"517 West Avalon Ave","Muscle Shoals",AL,35661,paypal,true,2025-01-13T23:12:39.128Z
dugi22@yahoo.com,"Noctua NH-U12DXi4 - 120mm",3,62.96,"517 West Avalon Ave","Muscle Shoals",AL,35661,credit_card,true,2024-11-13T04:34:28.739Z
dugi22@yahoo.com,"Seagate Enterprise Capacity ST1000NM0055",2,82.08,"517 West Avalon Ave","Muscle Shoals",AL,35661,credit_card,true,2024-11-13T04:34:28.739Z
dugi22@yahoo.com,"ARCTIC COOLING UCACO-FI11001-CSA01 92mm",1,28.29,"517 West Avalon Ave","Muscle Shoals",AL,35661,debt_card,true,2024-11-13T04:34:28.739Z
dugi22@yahoo.com,"ASUS ROG Crosshair X670E Hero",3,645.58,"517 West Avalon Ave","Muscle Shoals",AL,35661,paypal,true,2025-08-14T15:15:32.469Z
dugi22@yahoo.com,"Silverstone SST-SEQ1B SETA Q1 Midi-Tower - black",2,271.13,"517 West Avalon Ave","Muscle Shoals",AL,35661,paypal,true,2025-08-14T15:15:32.469Z
dugi22@yahoo.com,"MSI B450 Tomahawk Max II",3,94.29,"517 West Avalon Ave","Muscle Shoals",AL,35661,debt_card,true,2025-08-14T15:15:32.469Z
dugi22@yahoo.com,"Western Digital Blue 2,5 Zoll",1,61.89,"517 West Avalon Ave","Muscle Shoals",AL,35661,credit_card,true,2025-08-14T15:15:32.469Z
dugi22@yahoo.com,"Intel Pentium Gold G5600",2,79.76,"517 West Avalon Ave","Muscle Shoals",AL,35661,paypal,true,2025-03-15T20:31:40.110Z
dugi22@yahoo.com,"Viewsonic VX2758-C-MH",3,239.37,"517 West Avalon Ave","Muscle Shoals",AL,35661,credit_card,true,2025-03-15T20:31:40.110Z
dugi22@yahoo.com,"HGST Ultrastar He8",2,491.18,"517 West Avalon Ave","Muscle Shoals",AL,35661,paypal,true,2025-03-15T20:31:40.110Z
